Strategy,Ticker,Start,End,Days,Years,Total Return (%),CAGR (%),MDD (%),Sharpe,Win Rate (%),Trades,Avg Lev
TQQQ Sniper,TQQQ,2011-03-02,2025-12-29,5416,14.83,3220.82,26.65,-38.39,0.85,44.2,688,
Upbit MA+Stoch+Reverse,KRW-BONK,2025-05-28,2025-12-30,216,0.59,361.06,1225.53,-24.51,3.87,22.7,26,
Upbit MA+Stoch+Reverse,KRW-UNI,2025-07-07,2025-12-30,176,0.48,253.59,1274.97,-19.54,3.43,26.7,16,
Upbit MA+Stoch+Reverse,KRW-SUI,2023-10-31,2025-12-30,791,2.17,5475.43,540.26,-46.10,2.75,25.4,98,
Upbit MA+Stoch+Reverse,KRW-MNT,2024-11-06,2025-12-30,419,1.15,755.64,549.67,-37.59,2.68,22.9,20,
Upbit MA+Stoch+Reverse,KRW-MOVE,2025-05-07,2025-12-30,237,0.65,209.55,470.54,-29.63,2.55,16.5,32,
Upbit MA+Stoch+Reverse,KRW-AKT,2024-11-08,2025-12-30,417,1.14,276.17,219.14,-21.08,2.10,16.5,58,
Upbit MA+Stoch+Reverse,KRW-IMX,2023-10-25,2025-12-30,797,2.18,1584.54,264.82,-28.16,2.14,22.5,106,
Upbit MA+Stoch+Reverse,KRW-ARB,2023-10-01,2025-12-30,821,2.25,1446.11,238.12,-28.60,2.17,19.4,140,
Upbit MA+Stoch+Reverse,KRW-VET,2020-09-06,2025-12-30,1941,5.31,50931.01,223.26,-59.31,1.90,22.2,342,
Upbit MA+Stoch+Reverse,KRW-SAND,2021-06-20,2025-12-30,1654,4.53,22032.66,229.50,-62.15,1.69,20.9,106,
Upbit MA+Stoch+Reverse,KRW-HBAR,2020-03-30,2025-12-30,2101,5.75,66065.33,209.28,-57.38,1.69,21.2,336,
Upbit MA+Stoch+Reverse,KRW-GRT,2023-10-13,2025-12-30,809,2.21,1113.71,208.65,-35.01,2.02,20.4,70,
Upbit MA+Stoch+Reverse,KRW-AVAX,2022-08-03,2025-12-30,1245,3.41,4956.95,216.14,-33.18,2.16,25.5,300,
Upbit MA+Stoch+Reverse,KRW-NEAR,2022-07-16,2025-12-30,1263,3.46,3752.94,187.47,-51.73,1.82,21.9,122,
Upbit MA+Stoch+Reverse,KRW-SOL,2022-05-11,2025-12-30,1329,3.64,4199.87,181.14,-27.58,2.16,18.4,190,
Upbit MA+Stoch+Reverse,KRW-THETA,2019-07-16,2025-12-30,2359,6.46,47562.82,159.82,-59.23,1.57,18.9,220,
Upbit MA+Stoch+Reverse,KRW-MANA,2019-06-19,2025-12-30,2386,6.53,64897.01,169.52,-63.16,1.36,19.4,276,
Upbit MA+Stoch+Reverse,KRW-XRP,2017-12-03,2025-12-30,2949,8.07,335244.62,173.31,-69.08,1.56,18.0,394,
Upbit MA+Stoch+Reverse,KRW-ANKR,2020-01-18,2025-12-30,2173,5.95,28699.96,159.05,-60.64,1.44,20.4,238,
Upbit MA+Stoch+Reverse,KRW-ADA,2018-05-16,2025-12-30,2785,7.62,199219.50,170.85,-51.46,1.85,20.9,284,
Upbit MA+Stoch+Reverse,KRW-POL,2022-06-19,2025-12-30,1290,3.53,3646.93,178.98,-32.79,1.93,20.9,268,
Upbit MA+Stoch+Reverse,KRW-CRO,2020-12-15,2025-12-30,1841,5.04,11161.46,155.29,-49.15,1.58,18.1,238,
Upbit MA+Stoch+Reverse,KRW-DOT,2021-04-20,2025-12-30,1715,4.70,5173.49,132.68,-54.32,1.66,20.2,263,
Upbit MA+Stoch+Reverse,KRW-MVL,2021-02-02,2025-12-30,1792,4.91,9765.73,154.95,-52.96,1.50,17.7,122,
Upbit MA+Stoch+Reverse,KRW-ETH,2018-06-03,2025-12-30,2767,7.58,77080.81,140.52,-27.78,2.10,19.2,246,
Upbit MA+Stoch+Reverse,KRW-WAXP,2019-04-27,2025-12-30,2439,6.68,22131.93,124.63,-65.15,1.05,15.6,412,
Upbit MA+Stoch+Reverse,KRW-DOGE,2021-09-02,2025-12-30,1580,4.33,1952.83,101.08,-59.66,1.35,20.8,268,
Upbit MA+Stoch+Reverse,KRW-XLM,2017-12-11,2025-12-30,2941,8.05,75972.92,127.94,-59.56,1.44,15.6,470,
Upbit MA+Stoch+Reverse,KRW-LINK,2020-12-31,2025-12-30,1825,5.00,4814.85,118.04,-47.56,1.49,21.8,380,
Upbit MA+Stoch+Reverse,KRW-AXS,2021-06-20,2025-12-30,1654,4.53,2508.26,105.48,-45.69,1.25,14.1,112,
Upbit MA+Stoch+Reverse,KRW-BTC,2018-04-11,2025-12-30,2820,7.72,22381.62,101.66,-32.75,2.10,23.5,288,
Upbit MA+Stoch+Reverse,KRW-BCH,2018-01-02,2025-12-30,2919,7.99,6625.78,69.32,-51.92,1.10,17.4,405,
Bitget Futures,BTCUSDT,2019-12-02,2025-12-30,2220,6.08,2172122.17,417.06,-63.21,2.00,21.2,176,1.6x
Bitget Futures,ETHUSDT,2020-03-03,2025-12-30,2128,5.83,13297012.31,657.60,-67.84,2.11,20.0,150,1.4x
Bitget Futures,SOLUSDT,2020-12-09,2025-12-30,1847,5.06,390830189.47,1911.81,-74.39,2.54,19.0,260,0.9x
Bitget Futures,SUIUSDT,2023-09-13,2025-12-30,839,2.30,33748.45,1162.43,-62.94,2.22,18.1,64,1.0x
